"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","967924669.426005","1123551773.16707","1333078995.9507","1494779352.50098","1553993567.53506","1677736082.04648","1776426456.79667","1906242252.98798","2062628485.83087","2115166597.09495","2140247999.59914","2291068600.65849","2336706330.90095","2365635733.00384","2545966267.78226","2652438618.61234","2627374307.5502","2656551420.08012","2850313056.72604","2839392433.63397","2871404069.44201","2960117372.63583","3014457880.39871","2662437285.4367","2589660712.61171","2676912524.28603","2649051221.82866","2819423912.92302","2859631703.57391","2962906703.91061","2999478909.44476","3104263601.09893","3203987172.7481","3243368791.69297","2466904380.69","2832837377.86958","3133343655.36878","3431523924.65298","3665237356.33639","",
"Africa Eastern and Southern","AFE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","154305147879.483","154951076200.567","167249681779.316","176656334265.69","184871470772.949","194370450192.529","203753815221.304","214631830668.565","223552997186.881","235001946030.78","237615970026.247","250643212371.397","257570362585.723","269472828294.159","284219648106.144","288126802029.171","294893971866.124","298167519460.302","302581740510.117","311439869941.689","328421157711.414","341323351628.666","342377130045.501","342593887446.628","354262631781.422","353957018357.914","361994952077.806","376252507130.125","392379846000.569","402841164298.095","403329601596.887","402901735021.257","393248220517.701","389948875251.46","397443536782.507","414747938205.659","437554497336.446","454428117758.243","462493023138.114","474675656820.177","489774839579.489","506933350116.767","526789156387.883","542641656787.667","573217790338.928","608606705623.434","649002734406.452","692501255768.634","723243701061.761","729889709678.908","768830878585.468","797979105937.12","812982148861.25","850655742324.312","883970498430.359","909905339457.167","930764924653.388","955698838744.12","981562031627.013","1000561073932.47","971236989040.354","1014482704419.61","1051694225642.19","1072111623592.75","1102001360919.78","1143249446768.12",
"Afghanistan","AFG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6206547590.07403","5621147630.73068","7228795918.92525","7867263256.28817","7978515641.58304","8874480195.58321","9349921885.77888","10642671963.1135","11060395115.6809","13426272073.2398","15354612541.5059","15420077665.5323","17386490239.3536","18360263162.7578","18860496494.0404","19134221644.7325","19566715174.1633","20084646751.4954","20323499020.3639","21118473702.3471","20621957125.2077","16345202562.5485","15325233810.1388","15672648238.1005","15966227156.538","",
"Africa Western and Central","AFW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","110365745470.193","112429135898.678","116618263318.401","124826056712.771","131522450398.234","136922314987.168","134850736285.192","122759581851.839","124692544543.257","143417030186.76","168241315205.985","185750385460.306","191633584374.918","199149225452.946","218896783237.463","214488398821.095","232552880017.676","243159872520.707","238502695160.062","250501369031.577","255182088308.919","238236575766.817","230444780408.294","215951352727.224","216995920740.691","228539883078.537","231434027799.624","234698694034.025","245873388994.139","250111041736.179","264118859239.114","267072069350.346","273185770322.5","269565068912.566","268948105291.085","273928643456.074","286589236203.22","299163526124.645","309980005629.656","314685670206.216","326681308271.75","343827259045.611","378014334343.861","399282895865.352","431510602302.785","456527409674.039","480666156445.854","506849675483.645","538328363237.086","571387408829.944","611388224267.602","641480947279.533","674386929443.408","715164775061.073","755868545379.953","778037497377.313","779408179407.793","797356083809.555","820479044942.052","847416540470.494","815902870911.023","836671456137.296","874130137799.265","905988605069.203","947629502494.46","991221406822.122",
"Angola","AGO","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","25920531977.0214","24780028254.1518","24780028254.1518","25820789794.8182","27370037741.5508","28327988922.9414","29149501095.313","30339601953.4225","32199082928.503","32212484657.516","31101122147.9405","31409446015.0835","29575674380.5177","22482416932.2805","22783538204.3008","26201068941.4005","29749838598.7982","31913924370.8939","33411053301.7686","34139911993.9942","35182758019.4097","36662544314.0008","41672733511.8362","43125991915.4198","48050921277.9409","54852422288.0609","61347946235.8253","69324828859.5048","76802645840.6279","78335311067.9143","82482120582.995","85446420442.044","92712034533.4741","97239220009.3318","101766409287.935","102543067840.819","102304063580.932","102135580392.604","101618061915.596","100545753428.833","95243481886.3369","96282191774.5762","99707423108.6562","101023726479.201","106027106965.762","109349503922.107",
"Albania","ALB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4872357833.48621","5152305744.73323","5304226467.10994","5362834894.84554","5295713833.27528","5390011641.7466","5693859705.34246","5649001049.87206","5568782994.815","6116559061.23727","5530859374.75169","3982100297.96084","3695902333.01319","4049208851.98817","4385409261.20229","4969648100.72759","5334237832.94103","4709514660.14116","5100876515.377","5725771032.93267","6153077235.62289","6698469429.12028","7008501111.79519","7382282996.75923","7771053341.65332","8169772250.74253","8661509309.89701","9224515436.60112","9861658465.33864","10127011190.7491","10428102872.2706","10685000942.5337","10790155229.5092","10974367815.094","11220218560.8998","11470171826.9575","11918533446.9749","12309839868.7084","12761785703.1071","13025007474.8895","12593390460.142","13722964212.462","14385344334.623","14962975920.9066","15568367220.7999","16158243058.8297",
"Andorra","AND","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","859121720.677023","899066287.442032","972337884.010709","1048068101.62075","1106956843.40263","1112958826.16902","1149728615.77638","1182364531.3744","1199662526.47625","1200161072.91193","1226669361.91159","1225044337.89951","1240314039.4968","1262269064.92566","1284796612.69585","1314622305.68634","1357391200.11924","1432687348.19433","1505673115.05845","1578352472.35328","1638036096.2221","1679740553.06772","1695348938.12452","1677861678.47175","1717848180.14263","1765217871.42347","1847295889.3575","2014802622.42419","2079171403.48522","2164398280.23315","2240766094.49987","2422701909.41887","2532846713.57798","2753057566.67362","2977037419.70729","3137731826.02032","3288615581.7484","3339693968.96825","3154034157.09556","2986780565.81575","2927792904.09907","2927556638.43132","2781926981.12431","2683235436.47838","2750436142.83613","2789881258.60547","2893376871.82913","2903390035.8436","2949518094.78664","3008967037.09274","2672445970.98414","2893905656.89506","3170696512.04547","3252613194.28066","3377811496.69972","3508466410.96936",
"Arab World","ARB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","257754537863.242","275246616630.622","304919969048.024","327650708086.541","402817736104.685","432966910415.846","493319004158.438","558888518169.604","617646725511.936","617406023924.53","705761231168.553","752265105045.676","774488956906.384","856954522097.943","910763833347.987","918649264929.83","863772312510.136","831292925645.847","841645378319.456","834519949493.471","828086138084.752","830190249986.46","857413830460.606","889938076622.062","959639429334.876","952981017338.167","1015651907464.57","1048718228145.68","1083907612570.11","1114268868515.05","1167920827657.54","1231763017347.56","1290523949179.56","1326380717880.33","1410422739425.07","1440660496172.62","1459294917437.01","1520468514448.92","1658639699658.35","1751176396361.22","1861644304791.18","1947827477465.5","2056854003443.43","2070860109522.11","2168946517568.13","2252420739997.23","2375884472392","2437316444750.17","2500388675785.57","2584151265962.58","2676468941692.91","2712099967421.58","2784523435071.95","2833238460472.72","2683461741006.24","2802376771055.43","2998450003632.71","3047886326783.24","3109003094904.36","3223339169009.29",
"United Arab Emirates","ARE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","13966074001.8245","19079385786.6452","26535540606.2097","46867112958.5302","53661926336.268","57003782314.576","66424614559.7911","80665852296.705","79383572280.2415","95993384098.2552","118911400791.779","124451915974.059","116089811549.844","110580108175.276","115022263754.173","110887366579.005","94301087257.4771","97489831986.9554","94936520957.0187","106650141006.735","126196683288.874","127282106423.381","131540051388.686","133198900253.156","142384397291.437","151906594919.073","160714976106.725","173877954756.643","174386072208.874","179446849173.821","198921924880.306","201704686675.699","206612917837.677","224796049036.595","246301222105.371","258259482836.718","283665189297.709","292698259936.258","302040639158.395","286204884318.804","290792319431.216","310381577991.262","324917543197.553","340898452024.167","356691997288.357","381973135513.065","403584799169.773","399301266566.886","405439350953.112","410593665764.859","374898977910.719","391967383829.611","421421867518.393","439547797217.97","457093718948.957","",
"Argentina","ARG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","150797810295.884","158982878499.524","157628310158.567","149261089202.812","164381681831.918","181755894112.433","180556802912.311","186320169964.576","195305461613.156","214210104570.482","220734180309.322","233223609573.669","237021461356.448","243685921868.226","257171024124.452","257097956426.363","251909073021.038","269376820356.431","257238364643.474","283535234199.299","287841521828.634","272903153784.458","270895516738.16","282677015450.457","287117132733.287","272218554792.861","288969188904.054","296785426416.393","293550663101.649","272541389928.67","265817211205.311","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571450737224.442","514874343768.066","568636554720.066","602872713790.916","591684674129.454","583738758865.705","609232576079.322",
