"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2080053016.89093","2245684970.59034","2377784109.23919","2551545277.97822","2760871534.03284","2831194899.01943","2864766882.86583","3066643423.92541","3127730484.03819","3166453096.13781","3407829303.05377","3550344780.07138","3516795673.47901","3555849851.186","3815203869.94321","3800586386.65142","3843434633.27817","3962179252.17603","4034915162.71834","3563728205.54199","3466315234.84113","3583103616.65552","3545810678.35662","3773858102.43237","3827677074.39797","3965912830.6505","4014865495.60672","4155122005.38428","4288604099.7748","4341317223.56609","3302003307.24337","3791812306.88464","4194046268.57238","4593166819.42881","4905997154.64835","",
"Africa Eastern and Southern","AFE","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1097361352929.95","1097560859299.79","1070281245549.71","1058236105998.23","1076871623439.96","1125027067808.14","1188897600053.51","1236483404729.79","1260394802084.08","1293458597518.75","1333147871941.85","1381256627181.14","1433495037687.56","1474648996018.76","1559168811568.26","1656986832773.17","1768633714663.86","1889590178109.18","1975659958616.54","1997429669729.9","2109635476332.51","2197030327730.59","2267229376524.11","2373479256458.46","2473943054608.06","2554388329731.86","2624968461862.1","2703088426508.4","2782393100453.08","2839349753092.81","2762599295409.12","2887996518425.35","2999096418677.03","3059171608102.83","3153966875412.08","3285283363655.06",
"Afghanistan","AFG","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32567375969.9946","29495629513.1972","37931379899.2707","41281584746.4411","41865355064.2988","46566715049.4503","49061481753.757","55844878995.5875","58036781460.4599","70451155676.9393","80569661676.7348","80913174277.9269","91231454557.6403","96341095375.7699","98965950294.897","100402257640.593","102671664129.973","105389386367.805","106642706595.941","110814146350.335","108208794210.783","85767546197.7544","80415503801.351","82238478027.9442","83778963277.5713","",
"Africa Western and Central","AFW","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","871808591101.062","881328022133.11","903445775628.026","891441306921.239","888417797464.42","903903661318.667","945417344856.209","985088843540.41","1019788009861.79","1035079945453.8","1075225907835.43","1132612873837.15","1248915658620.85","1321518613992.46","1428562786878.45","1512002554865.45","1593477047759.22","1680649680407.19","1785698952455.93","1897789088653.21","2031733937059.71","2133330300928.38","2241511584433.09","2377079409792.61","2513223143214.49","2586400342461.08","2587717748116.66","2645089430890.63","2720346480339.28","2807641988234.52","2699435606244.16","2765414500385.42","2888097581226.73","2992365292841.64","3128662366520.15","3271233094656.88",
"Angola","AGO","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97270926147.8572","98235230521.4368","92499981986.3706","70315325171.9569","71257102927.5281","81945668386.8447","93044692712.028","99813021723.2397","104495396750.617","106774953085.802","110036526679.168","114664661403.411","130334377149.719","134879544046.795","150282603718.612","171554771947.879","191869975599.026","216818231706.545","240205625250.035","244999142520.042","257968578162.008","267239632476.322","289963346699.383","304122434657.21","318281534508.389","320710588237.715","319963085764.912","319436142856.195","317817567766.92","314463848273.215","297880624646.341","301129262182.548","311841911795.375","315958742285.78","331607163313.255","341998191245.856",
"Albania","ALB","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18275914282.1066","13158266876.3027","12212567642.1161","13380017258.6391","14490942242.2782","16421473870.0004","17626207211.1673","15561901036.9304","16855098935.2945","18919971293.1672","20331942020.2171","22134110598.9356","23158564860.6313","24393672323.4953","25678306955.7089","26995815160.3894","28620688210.5827","30481059450.3427","32586405218.4534","33463224413.3624","34458137751.3624","35307019777.3272","35654486708.7655","36263190202.3313","37075567963.5612","37901501901.7584","39383047169.7925","40676061896.2716","42169450675.4784","43039228446.4049","41613013272.6414","45345524203.3941","47534262248.3438","49442961175.9912","51443388009.2045","53392546272.4088",
"Andorra","AND","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2631759311.90244","2698763996.90569","2723841290.8748","2695745293.15108","2759989816.43446","2836096580.14852","2967967659.48467","3237093233.43958","3340511674.18327","3477441884.0993","3600138634.67129","3892446768.89736","4069411497.98481","4423214423.66702","4783072832.92882","5041253346.26448","5283671526.22279","5365736885.77917","5067445572.25505","4798726709.88385","4703953872.84549","4703574275.36736","4469597620.27972","4311034330.8461","4419002699.26687","4482377402.04324","4648659173.53205","4664746876.17637","4738858764.76253","4834372720.68675","4293699379.34509","4649508748.84024","5094216232.49801","5225828100.9848","5426978612.24989","5636896017.65261",
"Arab World","ARB","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2534296010520.15","2495405007694.93","2654461042365","2740264687100.34","2824819255198.88","2905208206072.21","3051945711880.5","3214887070359.26","3390213478939.79","3495823558009.69","3711127039908.79","3799597860059.05","3851719510664.59","3973332343325.91","4330062773831.31","4561446005653.4","4835734765524.9","5062379429092.46","5353241632603.29","5421443845685.48","5678437130596.32","5932483774226.28","6167458824475.79","6301970522004.08","6472790054965.28","6726097917183.27","6982432749518.81","7096681180747.23","7302922932433.89","7467769982996.74","7154326658654.49","7459817240462.31","7981484001549.19","8114209762223.33","8277088919828.83","8582649844300.49",
"United Arab Emirates","ARE","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211418019277.323","213236434810.875","220369794161.501","223148873072.821","238537388359.437","254489980053.1","269246711016.229","291298723806.336","292149975856.004","300628324209.139","333255028999.121","337917005618.237","346139793122.447","376602095951.24","412629834366.593","432663576394.787","475225900525.199","490359054999.81","506010395898.845","479480665998.703","487166022061.582","519984018033.759","544336202989.075","571109110186.963","597568126146.03","639921760403.668","676127903104.977","668951676639.983","679234844226.268","687869897064.677","628070384049.187","656665181293.844","706010444877.864","736376917710.375","765771699903.412","",
"Argentina","ARG","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557088925124.231","607968472614.51","656224702857.102","710080926887.272","751522674939.001","730140279566.018","770492868120.735","832987905019.268","865059429174.392","835773213823.75","829178972033.759","792621800475.08","706269738674.223","768683083609.037","838091886093.454","912276929668.686","985689236302.599","1074476681421.66","1118070705029.3","1051897409980.83","1158406210935.09","1227956360246.09","1215352364993.03","1244585524448.65","1213313877880.72","1246451419104.46","1220521143173.66","1254921567938.2","1222075295207.81","1197623267200.44","1079052757506.56","1191725417699.43","1263476170672.42","1240028731129.33","1223376004342.6","1276804911991.02",
